,CurrentAge,FaceAmount,qx_amount,A/E
0,18,340000,528703.542,0.6430825084201913
1,19,1161000,1963958.43,0.5911530418696286
2,20,3253000,3774611.324,0.8618105867792389
3,21,4043000,5743276.826,0.7039535307957311
4,22,10239000,7783956.462,1.3153979020804034
5,23,12796000,9881370.906,1.2949620170851222
6,24,10767000,12231633.826,0.880258529086546
7,25,17530000,15107490.484,1.160351550018557
8,26,19314000,18429099.756,1.0480164661169573
9,27,25775000,22730419.006,1.1339430211645611
10,28,19821000,26533064.96,0.7470301689564024
11,29,31243000,30459746.6,1.0257143767571593
12,30,39146000,34890328.074,1.1219728263080246
13,31,29221000,39861431.394,0.7330644931230037
14,32,43093000,45694913.196,0.9430590187393602
15,33,51683000,51983048.162,0.9942279613718509
16,34,52988000,58569429.688,0.9047040458182308
17,35,59330000,65772385.892,0.902050293529285
18,36,83191000,73922094.138,1.1253874903042727
19,37,78521000,83700652.646,0.9381169383719551
20,38,72504000,95428087.644,0.7597763068508757
21,39,116402000,108575941.458,1.0720791221048478
22,40,135464000,123470473.162,1.0971368014623533
23,41,130081000,140710270.656,0.9244598805300731
24,42,174590000,160187382.302,1.089911062226155
25,43,201055000,182519265.54,1.101554947666266
26,44,229151000,208330432.666,1.0999401146897245
27,45,245195000,237302791.504,1.033257967367261
28,46,275003000,270212442.372,1.0177288565468976
29,47,343908000,306226454.758,1.1230512408595736
30,48,365918000,346427332.07199997,1.056261923132408
31,49,418114000,391556999.824,1.0678240976101487
32,50,475803000,441282208.614,1.0782283779226551
33,51,527367000,497961525.342,1.0590517001043491
34,52,566768000,561005703.622,1.0102713686167486
35,53,674487000,629369682.332,1.0716865126086579
36,54,758541000,705091854.194,1.075804514671494
37,55,814077000,784774588.882,1.0373386339633457
38,56,960739000,869378080.946,1.1050876725055998
39,57,1005303000,957837236.966,1.0495551448640172
40,58,1146766000,1051505233.538,1.0905946669818047
41,59,1257337000,1150567078.4919999,1.0927976503968277
42,60,1308571000,1249074171.994,1.0476327421861749
43,61,1491947000,1346248329.432,1.108225702036319
44,62,1496381000,1442312549.634,1.037487332672603
45,63,1594095000,1533691085.0939999,1.039384668459684
46,64,1697274000,1623680119.414,1.045325356704226
47,65,1808539000,1709485971.592,1.057943165404133
48,66,1947968000,1793333060.592,1.086227674493969
49,67,1964996000,1872528510.348,1.0493810850627932
50,68,2102190000,1944708570.664,1.080979449420655
51,69,2095862000,2005621151.618,1.0449939652407434
52,70,2185136000,2065395701.108,1.0579745076586362
53,71,2301872000,2110660100.416,1.0905934117702387
54,72,2226667000,2150703512.526,1.0353202973034534
55,73,2338181000,2187893516.6219997,1.068690492583952
56,74,2351536000,2206121135.268,1.0659142702580269
57,75,2414042000,2209820012.39,1.09241566573973
58,76,2325681000,2207829295.05,1.053378993210311
59,77,2362821000,2209396797.86,1.0694416694586526
60,78,2352448000,2196242192.682,1.071124126400306
61,79,2268242000,2172869815.458,1.0438922681255514
62,80,2292972000,2136122530.046,1.0734271876953718
63,81,2182290000,2080293103.652,1.0490300603164728
64,82,2144317000,2030386492.542,1.0561127193647557
65,83,2022280000,1984563485.03,1.0190049425248948
66,84,2038205000,1933864514.3,1.0539543928379946
67,85,1924722000,1887158601.04,1.0199047387640334
68,86,1918954000,1861190483.36,1.0310357898111104
69,87,1878757000,1786864694.42,1.0514265606494773
70,88,1764640000,1683817379.4659998,1.0479996355422059
71,89,1567991000,1557841571.362,1.006515058286143
72,90,1356633000,1295373071.6399999,1.0472913400017203
73,91,1003370000,1032651076.632,0.9716447527198631
74,92,832934000,799682309.482,1.0415811255591474
75,93,641563000,596894796.082,1.0748342994631563
76,94,486105000,446309878.768,1.089164777938259
77,95,345296000,572055834.06,0.6036054165366378
