,Duration,FaceAmount,qx_amount,A/E
0,1,23444000,21724221.422,1.079164106487075
1,2,127010000,120952990.06,1.050077389050038
2,3,339835000,331022110.352,1.0266232658556511
3,4,682291000,656282201.0879999,1.0396305108821815
4,5,1160622000,1091576561.988,1.063252950288941
5,6,1706422000,1648098521.856,1.035388344428778
6,7,2522888000,2387698278.978,1.0566192647589732
7,8,3482801000,3292059548.472,1.0579398545863279
8,9,4509862000,4398014161.168,1.0254314412671868
9,10,5945746000,5706329199.354,1.0419563597335224
10,11,6348050000,6028011705.808,1.0530918501507958
11,12,6191146000,5901713061.0199995,1.0490421909685284
12,13,5808562000,5528258141.415999,1.050703829563249
13,14,5317219000,5124318327.49,1.0376441626343083
14,15,5058534000,4774311842.12,1.059531544498734
15,16,4717962000,4572150802.658,1.0318911609952222
16,17,4186010000,3990729967.684,1.0489334116558455
17,18,3937225000,3630642691.086,1.0844429857189541
18,19,3443375000,3244314243.1879997,1.0613568051337698
19,20,3024860000,2838651193.384,1.0655976356129961
20,21,2642878000,2414347591.202,1.0946551398111755
21,22,2083267000,1946211360.79,1.070421765061718
22,23,1530979000,1471513891.4459999,1.0404108373693748
23,24,1030059000,955962398.02,1.0775099545060243
24,25,432291000,420552551.832,1.0279119651441069
25,26,181994000,175492657.812,1.0370462346918508
26,27,70500000,57980434.024,1.2159274277046244
27,28,11448000,17598378.509999998,0.650514477427273
28,29,5338000,4284814.0479999995,1.245795019387502
29,30,888000,1164255.566,0.7627191365302005
