,Duration,Amount,qx_count,A/E
0,1,81.0,80.928842,1.0008792662571397
1,2,500.0,451.54634799999997,1.1073060433654531
2,3,1245.0,1226.783636,1.0148488808176441
3,4,2603.0,2450.357256,1.062294077170272
4,5,4327.0,4077.108146,1.0612914460572171
5,6,6440.0,6143.94992,1.0481856271380545
6,7,9343.0,8855.345933999999,1.0550688894182731
7,8,12753.0,12214.817178,1.0440598343927174
8,9,16936.0,16334.017663999999,1.0368545172647121
9,10,22214.0,21275.545105999998,1.0441095581487754
10,11,23445.0,22467.131323999998,1.0435244118128875
11,12,22885.0,21985.060085999998,1.0409341575815425
12,13,21575.0,20619.90816,1.0463189182313022
13,14,19742.0,19101.566076,1.0335278228733646
14,15,18819.0,17768.293032,1.0591338158430703
15,16,17730.0,17019.461494,1.0417485891813023
16,17,15642.0,14818.715612,1.0555570678023751
17,18,14494.0,13485.66732,1.0747706921781013
18,19,12803.0,12037.711704,1.063574233610006
19,20,11288.0,10527.836062,1.0722051458175528
20,21,9695.0,8944.179822,1.083945112122322
21,22,7771.0,7243.643876,1.0728026022575823
22,23,5578.0,5468.85056,1.0199583877457423
23,24,3794.0,3568.963064,1.063053870820334
24,25,1609.0,1560.764746,1.0309048843674997
25,26,641.0,649.22668,0.987328493647242
26,27,225.0,217.35565599999998,1.0351697496199501
27,28,49.0,63.133054,0.7761385976987586
28,29,17.0,16.233636,1.0472084011246772
29,30,6.0,4.014616,1.4945389546596735
