,FaceAmount_band,FaceAmount,qx_amount,A/E
0,< 100,5817338000,5500154455.794,1.0576681158238876
1,101-250,16308299000,15640269783.836,1.0427121287162449
2,251-500,20163257000,19171547974.834,1.051728166471888
3,501-1M,18513231000,17670383807.634,1.047698295721334
4,1M - 1.5M,7423447000,7014954718.868,1.0582316347721084
5,1.5M -2M,3465749000,3261684739.378,1.0625640664035836
6,2M,2817864000,2629976092.8259997,1.0714409182982756
7,3M,1121112000,982065124.0979999,1.1415862069531395
8,4M,438209000,467743076.574,0.9368583351562928
9,5M,455000000,413188330.0,1.1011927660202794
