,StudyYear,Amount,qx_count,A/E
0,2010,32610.0,31259.850956,1.0431911542348815
1,2011,28063.0,26879.001917999998,1.0440491832848569
2,2012,24829.0,23919.10726,1.038040413887922
3,2013,22646.0,21757.215696,1.040850093891536
4,2014,20807.0,20052.23923,1.0376397249874623
5,2015,19379.0,18651.094116,1.0390275165345695
6,2016,18278.0,17463.275508,1.0466535897934366
7,2017,17050.0,16443.458094,1.0368865175763313
8,2018,16209.0,15548.268864,1.0424954791931749
9,2019,15323.0,14744.525174,1.0392331946382418
10,2020,14415.0,14043.333942,1.0264656569113153
11,2021,16832.0,13406.672428,1.2554942391854194
12,2022,14140.0,12710.70207,1.1124483857877097
13,2023,11556.0,12135.280502,0.952264762079086
14,2024,12113.0,11664.090852,1.0384864241624994
